key linkValue linkUp
3761 8361 11704
3882 8350 11720
4058 8339 11736
4179 8328 11752
4212 8317 11688
4333 8306 11784
4454 8295 11800
4575 8284 11816
4696 8273 11832
4850 8262 11768
4971 8251 11864
5026 8240 11880
5147 8229 11896
5268 8218 11912
5301 8207 11848
5389 8196 11928
5422 8185 11944
5543 8174 11976
5664 8163 11992
5785 8152 12008
6115 8141 11960
6236 8130 12040
6357 8119 12056
6478 8108 12072
6511 8097 12024
6599 8086 12088
6632 8075 12104
11 9145 0
99 9138 0
918 9129 12152
1067 9119 12162
1100 9109 12172
1188 9099 12187
1221 9089 12203
1342 9079 12235
1463 9069 12251
1584 9059 12267
1980 9049 12219
2035 9039 12299
2156 9029 12315
2277 9019 12331
2310 9009 12283
2398 8999 12347
2431 8989 12363
2552 8979 12395
2673 8969 12411
2794 8959 12427
3003 8949 12379
3124 8939 12459
3245 8928 12475
3366 8917 12491
3487 8906 12507
3520 8895 12443
3641 8884 12539
3762 8873 12555
3883 8862 12571
4059 8851 12587
4213 8840 12523
4334 8829 12619
4455 8818 12635
4576 8807 12651
4697 8796 12667
4730 8785 12603
4851 8774 12699
4972 8763 12715
5027 8752 12731
5148 8741 12747
5269 8730 12763
5302 8719 12683
5423 8708 12795
5544 8697 12811
5665 8686 12827
5786 8675 12843
5940 8664 12779
6116 8653 12875
6237 8642 12891
6358 8631 12907
6479 8620 12923
6512 8609 12859
6633 8598 12955
12 9701 0
919 9692 12987
1068 9682 0
1101 9672 12997
1189 9662 13012
1222 9652 13024
1343 9642 13056
1464 9632 13072
1585 9622 13088
1860 9612 13040
1981 9602 13120
2036 9592 13136
2157 9582 13152
2278 9572 13168
2311 9562 13104
2399 9552 13184
2432 9542 13200
2553 9532 13232
2674 9522 13248
2795 9512 13264
3004 9502 13216
3125 9492 13296
3246 9481 13312
3367 9470 13328
3400 9459 13280
3488 9448 13344
3521 9437 13360
3642 9426 13392
3763 9415 13408
3884 9404 13424
4214 9393 13376
4335 9382 13456
4456 9371 13472
4577 9360 13488
4610 9349 13440
4698 9338 13504
4731 9327 13520
4852 9316 13552
4973 9305 13568
5028 9294 13584
5149 9283 13600
5303 9272 13536
5424 9261 13632
5545 9250 13648
5666 9239 13664
5787 9228 13680
5820 9217 13616
5941 9206 13712
6117 9195 13728
6238 9184 13744
6359 9173 13760
6513 9162 13696
6634 9151 13792
13 10237 0
1069 10227 0
1102 10217 13824
1223 10207 13848
1344 10197 13865
1465 10187 13882
1586 10177 13899
1740 10167 13835
1861 10157 13933
1982 10147 13950
2037 10137 13967
2158 10127 13984
2279 10117 14001
2312 10107 13916
2433 10097 14035
2554 10087 14052
2675 10077 14069
2796 10067 14086
2950 10057 14018
3005 10047 14120
3126 10037 14137
3247 10026 14154
3368 10015 14171
3401 10004 14103
3489 9993 14188
3522 9982 14205
3643 9971 14238
3764 9960 14254
3885 9949 14270
4215 9938 14222
4336 9927 14302
4457 9916 14318
4578 9905 14334
4611 9894 14286
4699 9883 14350
4732 9872 14366
4853 9861 14398
4974 9850 14414
5029 9839 14430
5304 9828 14382
5425 9817 14462
5546 9806 14478
5667 9795 14494
5700 9784 14446
5788 9773 14510
5821 9762 14526
5942 9751 14558
6118 9740 14574
6239 9729 14590
6514 9718 14542
6635 9707 14622
14 10729 0
1103 10719 14654
1224 10709 14665
1345 10699 14682
1466 10689 14699
1587 10679 14716
1620 10669 0
1741 10659 14750
1862 10649 14763
1983 10639 14780
2038 10629 14797
2159 10619 14814
2313 10609 14733
2434 10599 14848
2555 10589 14865
2676 10579 14882
2797 10569 14899
2830 10559 14831
2951 10549 14933
3006 10539 14950
3127 10529 14967
3248 10518 14984
3369 10507 15001
3402 10496 14916
3523 10485 15035
3644 10474 15052
3765 10463 15069
3886 10452 15086
4216 10441 15018
4337 10430 15120
4458 10419 15137
4579 10408 15154
4612 10397 15103
4733 10386 15188
4854 10375 15205
4975 10364 15222
5305 10353 15171
5426 10342 15256
5547 10331 15273
5668 10320 15290
5701 10309 15239
5789 10298 15307
5822 10287 15324
5943 10276 15358
6119 10265 15375
6515 10254 15341
6636 10243 15409
15 11198 0
1104 11188 15443
1225 11178 15454
1346 11168 15471
1467 11158 15488
1500 11148 0
1588 11138 15505
1621 11128 15522
1742 11118 15552
1863 11108 15569
1984 11098 15586
2039 11088 15603
2314 11078 15535
2435 11068 15637
2556 11058 15654
2677 11048 15671
2710 11038 15620
2798 11028 15688
2831 11018 15705
2952 11008 15739
3007 10998 15756
3128 10988 15773
3249 10977 15790
3403 10966 15722
3524 10955 15824
3645 10944 15841
3766 10933 15858
3887 10922 15875
3920 10911 15807
4217 10900 15909
4338 10889 15926
4459 10878 15943
4613 10867 15892
4734 10856 15977
4855 10845 15994
4976 10834 16011
5306 10823 15960
5427 10812 16045
5548 10801 16062
5669 10790 16079
5702 10779 16028
5823 10768 16113
5944 10757 16130
6516 10746 16096
6637 10735 16164
16 11635 0
1105 11625 16198
1226 11615 16209
1347 11605 16226
1468 11595 16243
1501 11585 0
1589 11575 16260
1622 11565 16277
1743 11555 16307
1864 11545 16324
1985 11535 16341
2315 11525 16290
2436 11515 16375
2557 11505 16392
2678 11495 16409
2711 11485 16358
2799 11475 16426
2832 11465 16443
2953 11455 16477
3008 11445 16494
3129 11435 16511
3404 11424 16460
3525 11413 16545
3646 11402 16562
3767 11391 16579
3800 11380 16528
3888 11369 16596
3921 11358 16613
4218 11347 16647
4339 11336 16664
4614 11325 16630
4735 11314 16698
4856 11303 16715
4977 11292 16732
5307 11281 16681
5428 11270 16766
5549 11259 16783
5703 11248 16749
5824 11237 16817
5945 11226 16834
6517 11215 16800
6638 11204 16868
17 12020 0
1106 12010 16902
1227 12000 16913
1348 11990 16930
1469 11980 16947
1502 11970 0
1623 11960 16981
1744 11950 16994
1865 11940 17011
1986 11930 17028
2316 11920 16964
2437 11910 17062
2558 11900 17079
2679 11890 17096
2712 11880 17045
2833 11870 17130
2954 11860 17147
3009 11850 17164
3405 11839 17113
3526 11828 17198
3647 11817 17215
3768 11806 17232
3801 11795 17181
3889 11784 17249
3922 11773 17266
4219 11762 17300
4615 11751 17283
4736 11740 17334
4857 11729 17351
4978 11718 17368
5308 11707 17317
5429 11696 17402
5704 11685 17385
5825 11674 17436
5946 11663 17453
6518 11652 17419
6639 11641 17487
18 12331 0
1107 12321 17521
1228 12311 17532
1349 12301 17549
1503 12291 0
1624 12281 17583
1745 12271 17596
1866 12261 17613
1987 12251 17630
2317 12241 17566
2438 12231 17664
2559 12221 17681
2713 12211 17647
2834 12201 17715
2955 12191 17732
3406 12180 17698
3527 12169 17766
3648 12158 17783
3769 12147 17800
3802 12136 17749
3923 12125 17834
4616 12114 17817
4737 12103 17868
4858 12092 17885
4979 12081 17902
5309 12070 17851
5705 12059 17919
5826 12048 17953
5947 12037 17970
6519 12026 17936
19 12588 0
1108 12578 18021
1229 12568 18032
1504 12558 0
1625 12548 18066
1746 12538 18079
1867 12528 18096
1900 12518 18049
1988 12508 18113
2318 12498 18130
2439 12488 18164
2714 12478 18147
2835 12468 18198
2956 12458 18215
3407 12447 18181
3528 12436 18249
3649 12425 18266
3803 12414 18232
3924 12403 18300
4617 12392 18283
4738 12381 18334
4859 12370 18351
5706 12359 18368
5827 12348 18385
5948 12337 18402
1109 12793 0
1505 12783 0
1626 12773 18449
1747 12763 18462
1868 12753 18479
1901 12743 18436
1989 12733 18496
2319 12723 18513
2715 12713 18530
2836 12703 18564
2957 12693 18581
3408 12682 18547
3529 12671 18615
3804 12660 18598
3925 12649 18649
4618 12638 18632
4739 12627 18683
5707 12616 18700
5828 12605 18717
5949 12594 18734
1506 12939 0
1627 12929 18768
1748 12919 18781
1869 12909 18798
1902 12899 0
2716 12889 18815
2837 12879 18845
2958 12869 18862
3409 12858 18832
3805 12847 18879
3926 12836 18913
4619 12825 18896
5708 12814 18947
5829 12803 18964
1507 13042 0
1628 13032 18998
1749 13022 19011
1903 13012 0
2717 13002 19028
2838 12992 19058
2959 12982 19075
3806 12971 19092
3927 12960 19109
5709 12949 19045
480 13124 0
1508 13114 0
1629 13104 19172
1904 13094 19160
2718 13084 19185
2839 13074 19219
3807 13063 19236
3928 13052 19253
360 13194 0
481 13185 19287
1509 13175 0
1905 13165 19299
2719 13155 19315
3808 13144 19345
3929 13133 19362
240 13242 0
361 13233 19396
482 13224 19408
1906 13214 19424
3809 13203 0
120 13286 0
241 13278 19470
362 13269 19482
483 13260 19498
1907 13250 19514
121 13339 0
242 13331 19547
363 13322 19559
484 13313 19575
880 13304 0
1908 13294 19591
1 13409 0
122 13401 19636
243 13393 19646
364 13384 19662
485 13375 19678
760 13366 0
881 13357 19710
1909 13347 19694
2 13485 0
123 13477 19755
244 13469 19765
365 13460 19781
486 13451 19797
640 13442 0
761 13433 19829
882 13424 19841
6080 13413 19857
3 13570 0
124 13562 19890
245 13554 19900
366 13545 19916
487 13536 19932
520 13527 0
641 13518 19964
762 13509 19976
883 13500 19992
6081 13489 20008
4 13674 0
125 13666 20041
246 13658 20051
367 13649 20067
400 13640 0
488 13631 20083
521 13622 20099
642 13613 20127
763 13604 20143
884 13595 20159
3090 13585 20111
6082 13574 20175
5 13801 0
126 13793 20225
247 13785 20235
368 13776 20251
401 13767 0
489 13758 20267
522 13749 20283
643 13740 20311
764 13731 20327
885 13722 20343
3091 13712 20295
4180 13701 20375
5390 13690 20392
6083 13679 20359
6 13952 0
127 13944 20443
248 13936 20453
369 13927 20469
402 13918 0
523 13909 20501
644 13900 20513
765 13891 20529
886 13882 20545
3092 13872 20485
4060 13861 20577
4181 13850 20594
5270 13839 20611
5391 13828 20628
6084 13817 20561
6480 13806 20645
7 14135 0
128 14127 20696
249 14119 20706
403 14110 0
524 14101 20738
645 14092 20750
766 14083 20766
887 14074 20782
920 14065 20722
1190 14055 20798
3093 14045 20814
4061 14034 20847
4182 14023 20864
5150 14012 20881
5271 14001 20898
5392 13990 20915
6085 13979 20830
6360 13968 20932
6481 13957 20966
8 14372 0
129 14364 21000
404 14355 0
525 14346 21026
646 14337 21038
767 14328 21054
800 14319 21010
888 14310 21070
921 14301 21086
1070 14291 21102
1191 14281 21134
2280 14271 21151
3094 14261 21118
3490 14250 21168
4062 14239 21185
4183 14228 21219
5030 14217 21236
5151 14206 21253
5272 14195 21270
5393 14184 21287
6086 14173 21202
6240 14162 21304
6361 14151 21338
6482 14140 21355
9 14655 0
405 14646 0
526 14637 21399
647 14628 21411
768 14619 21427
801 14610 21389
889 14601 21443
922 14592 21459
1071 14582 21475
1192 14572 21507
2160 14562 21524
2281 14552 21541
3095 14542 21491
3370 14531 21558
3491 14520 21592
4063 14509 21575
4184 14498 21626
4580 14487 21609
5031 14476 21643
5152 14465 21677
5273 14454 21694
5394 14443 21711
5790 14432 21660
6087 14421 21745
6120 14410 21728
6241 14399 21779
6362 14388 21796
6483 14377 21813
406 14974 0
527 14965 21847
648 14956 21859
769 14947 21875
802 14938 0
923 14929 21907
1072 14919 21891
1193 14909 21935
2040 14899 21952
